NO,이수구분,AISW마이크로디그리,교양영역,학수번호,분반,개설학년,교과목명,학점,교수명,강의시간(강의실),수업구분,수업방법,팀티칭 유형
1,기본교양,,,0ASA4000,02,5,사회봉사,1,박창훈,월11(강석규교육관(아산) 105),주간,대면수업,
2,인성교양,,,0APR1133,02,6,사회봉사,1,박창훈,월14(강석규교육관(아산) 105),주간,대면수업,
3,인성교양,,,0APR1136,01,6,채플,0,한성식,수1(종합정보관(천안) 503),주간(천안),대면수업,
4,인성교양,,,0APR1136,02,6,채플,0,한성식,수2(교육관(대학교회(천안)) 103),주간(천안),대면수업,
5,인성교양,,,0APR1136,03,6,채플,0,한성식,수3(교육관(대학교회(천안)) 103),주간(천안),대면수업,
6,인성교양,,,0APR1136,04,6,채플,0,한성식,목4(교육관(대학교회(천안)) 103),주간(천안),대면수업,
7,인성교양,,,0APR1136,05,6,채플,0,한성식,목5(교육관(대학교회(천안)) 103),주간(천안),대면수업,
8,인성교양,,,0APR1136,06,6,채플,0,한성식,목6(교육관(대학교회(천안)) 103),주간(천안),대면수업,
9,인성교양,,,0APR1136,07,6,채플,0,한성식,화3(종합정보관(천안) 503),주간(천안),대면수업,
10,인성교양,,,0APR1136,08,6,채플,0,이재훈,목2(교육문화관(아산) 104),주간,대면수업,
11,인성교양,,,0APR1136,09,6,채플,0,이재훈,목3(교육문화관(아산) 104),주간,대면수업,
12,인성교양,,,0APR1136,10,6,채플,0,이재훈,목4(교육문화관(아산) 104),주간,대면수업,
13,인성교양,,,0APR1136,11,6,채플,0,이재훈,목5(교육문화관(아산) 104),주간,대면수업,
14,인성교양,,,0APR1136,12,6,채플,0,이재훈,목6(교육문화관(아산) 104),주간,대면수업,
15,인성교양,,,0APR1136,13,6,채플,0,이재훈,수0(교육문화관(아산) 104),주간,원격(예외),
16,인성교양,,,0APR1139,01,1,대학생활설계와비전2,1,이문정,월5(2호관(천안) 101),주간(천안),대면수업,
17,인성교양,,,0APR1139,02,1,대학생활설계와비전2,1,정진화,화2(벤처교육관(천안) 308),주간(천안),대면수업,
18,인성교양,,,0APR1139,03,1,대학생활설계와비전2,1,고유식,수8(1호관(천안) 404),주간(천안),대면수업,
19,인성교양,,,0APR1139,04,1,대학생활설계와비전2,1,정수현,월8(1호관(천안) 204),주간(천안),대면수업,
20,인성교양,,,0APR1139,05,1,대학생활설계와비전2,1,유은걸,수8(종합정보관(천안) 407),주간(천안),대면수업,
21,인성교양,,,0APR1139,0E,1,대학생활설계와비전2,1,박문호,금4(제1공학관(아산) 504),주간,대면수업,
22,인성교양,,,0APR1139,0K,1,대학생활설계와비전2,1,박창훈,금4(제1공학관(아산) 530),주간,대면수업,
23,인성교양,,,0APR1139,0M,1,대학생활설계와비전2,1,오영택,금4(제1공학관(아산) 528),주간,대면수업,
24,인성교양,,,0APR1139,0N,1,대학생활설계와비전2,1,김재범,금4(제1공학관(아산) 518-1),주간,대면수업,
25,인성교양,,,0APR1139,10,1,대학생활설계와비전2,1,편제범,월8(강석규교육관(아산) 402),주간,대면수업,
26,인성교양,,,0APR1139,1I,1,대학생활설계와비전2,1,김성용,화6(강석규교육관(아산) 402),주간,대면수업,
27,인성교양,,,0APR1139,1J,1,대학생활설계와비전2,1,박성원,화2(예술관(아산) 114),주간,대면수업,
28,인성교양,,,0APR1139,1T,1,대학생활설계와비전2,1,권영진,화6(제1공학관(아산) 226),주간,대면수업,
29,인성교양,,,0APR1139,2D,1,대학생활설계와비전2,1,한범석,월5(자연과학관(아산) 506),주간,대면수업,
30,인성교양,,,0APR1139,2I,1,대학생활설계와비전2,1,김정훈,화6(강석규교육관(아산) 414),주간,대면수업,
31,인성교양,,,0APR1139,2J,1,대학생활설계와비전2,1,민경조,수8(조형과학관(아산) 215),주간,대면수업,
32,인성교양,,,0APR1139,2R,1,대학생활설계와비전2,1,유정선,월3(산학협동1호관 별관(아산) 327),주간,대면수업,
33,인성교양,,,0APR1139,2T,1,대학생활설계와비전2,1,이성은,목1(제1공학관(아산) 226),주간,대면수업,
34,인성교양,,,0APR1139,3D,1,대학생활설계와비전2,1,장희라,수2(자연과학관(아산) 407),주간,대면수업,
35,인성교양,,,0APR1139,3I,1,대학생활설계와비전2,1,편제범,목4(강석규교육관(아산) 414),주간,대면수업,
36,인성교양,,,0APR1139,3J,1,대학생활설계와비전2,1,최재진,화4(예술관(아산) 114),주간,대면수업,
37,인성교양,,,0APR1139,3R,1,대학생활설계와비전2,1,김시용,금0(산학협동1호관 별관(아산) 223),주간,대면수업,
